ReportTitle
Kleine Hochschulstatistik im WiSe 2021/22

Standort,Textbox24,StudDeutschW3,StudDeutsch1HS,StudAusland1HSW,StudDeutsch1FS,StudDeutsch1FSW,StudAusland,StudAuslandW,StudAusland1HSW1,StudAusland1HSW5,StudAusland1FS,StudDeutsch1FSW2,Stud1HS,Stud1FS,Textbox176,Organisation1,Textbox28,Textbox42,StudDeutsch1HS1,Textbox63,Textbox72,Textbox81,Textbox89,Textbox114,Textbox131,StudAusland1HSW4,Textbox156,StudDeutsch1FSW3,Textbox163,Textbox170,Textbox177,Studiengang1,StudDeutsch1,Textbox43,Textbox57,Textbox64,Textbox73,Textbox83,Textbox90,Textbox115,Textbox132,StudAusland1HSW3,Textbox157,StudDeutsch1FSW1,Textbox164,Textbox171,Textbox178,Textbox19,Textbox44,Textbox58,Textbox65,Textbox74,Textbox84,Textbox102,Textbox116,Textbox133,StudAusland1HSW2,Textbox158,StudAusland1FSW1,Textbox165,Textbox172,Textbox179
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Aircraft and Flight Engineering,46,3,7,1,10,1,5,1,1,0,2,1,8,12,51,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Angewandte Werkstoffwissenschaften,73,22,0,0,20,8,7,3,1,0,1,0,1,21,80,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Berufliche Bildung - Teilstudiengang Elektrotechnik,11,2,6,1,6,1,0,0,0,0,0,0,6,6,11,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Berufliche Bildung - Teilstudiengang Metalltechnik,50,7,11,1,15,1,0,0,0,0,0,0,11,15,50,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Dentaltechnologie,37,31,9,9,9,9,19,10,5,3,6,3,14,15,56,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Elektrotechnik (Bachelor),247,11,55,1,62,2,22,1,3,0,3,0,58,65,269,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Elektrotechnik (Master),60,8,0,0,15,1,5,1,0,0,1,1,0,16,65,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Elektrotechnik im Praxisverbund,35,10,0,0,0,0,1,0,0,0,0,0,0,0,36,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,"  Energie-, Umwelt- und Verfahrenstechnik",109,17,21,3,25,3,8,3,0,0,0,0,21,25,117,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Entwicklung und Produktion,88,7,0,0,21,1,1,0,0,0,0,0,0,21,89,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
